Full Image Title,Onsite Image URL,Date,Object Page URL,Shortened Title with Date
Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland,../img/scale/brueghel/3284.jpg,1621,janbrueghel/icon-of-the-madonna-and-child-suspended-within-a-fruit-and-flower-garland,Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland
Infanta Isabella and her Entourage in the Park at Mariemont,../img/scale/brueghel/3285.jpg,1620,janbrueghel/infanta-isabella-and-her-entourage-in-the-park-at-mariemont,Infanta Isabella and her Entourage in the Park at Mariemont
Infanta Isabella and her Ladies Making Hay near Mariemont,../img/scale/brueghel/3286.jpg,1620,janbrueghel/infanta-isabella-and-her-ladies-making-hay-near-mariemont,Infanta Isabella and her Ladies Making Hay near Mariemont
Interior Forest with Hunting Scene,../img/scale/brueghel/3288.jpg,1593,janbrueghel/interior-forest-with-hunting-scene,Interior Forest with Hunting Scene
Juno in the Underworld,../img/scale/brueghel/18631.jpg,1596,janbrueghel/juno-in-the-underworld,Juno in the Underworld
Landscape with Archduke Albert and Mariemont Castle,../img/scale/brueghel/3309.jpg,1609,janbrueghel/landscape-with-archduke-albert-and-mariemont-castle,Landscape with Archduke Albert and Mariemont Castle
Landscape with Cistern (Milan),../img/scale/brueghel/3311.jpg,1595,janbrueghel/landscape-with-cistern-milan,Landscape with Cistern (Milan)
Landscape with Diana and Actaeon,../img/scale/brueghel/3312.jpg,1591,janbrueghel/landscape-with-diana-and-actaeon,Landscape with Diana and Actaeon
Landscape with Fort near Harbor,../img/scale/brueghel/3313.jpg,,janbrueghel/landscape-with-fort-near-harbor,Landscape with Fort near Harbor
Landscape with Hermit: St. Fulgentius (Vienna),../img/scale/brueghel/3314.jpg,1595,janbrueghel/landscape-with-hermit-st-fulgentius-vienna,Landscape with Hermit: St. Fulgentius (Vienna)
Landscape with Hermit (St. Fulgentius?) (Milan),../img/scale/brueghel/3315.jpg,1597,janbrueghel/landscape-with-hermit-st-fulgentius-milan,Landscape with Hermit (St. Fulgentius?) (Milan)
Landscape with Hermit and Gypsies (Milan),../img/scale/brueghel/3316.jpg,1595,janbrueghel/landscape-with-hermit-and-gypsies-milan,Landscape with Hermit and Gypsies (Milan)
Landscape with Hermit on the Right (Milan),../img/scale/brueghel/3317.jpg,1595,janbrueghel/landscape-with-hermit-on-the-right-milan,Landscape with Hermit on the Right (Milan)
Landscape with Windmill (Cambridge),../img/scale/brueghel/3335.jpg,1611,janbrueghel/landscape-with-windmill-cambridge,Landscape with Windmill (Cambridge)
Landscape with Young Tobias,../img/scale/brueghel/3336.jpg,1600,janbrueghel/landscape-with-young-tobias,Landscape with Young Tobias
Landscape with a Ford,../img/scale/brueghel/3337.jpg,1607,janbrueghel/landscape-with-a-ford,Landscape with a Ford
Landscape with a Windmill on a Hill,../img/scale/brueghel/3338.jpg,1608,janbrueghel/landscape-with-a-windmill-on-a-hill,Landscape with a Windmill on a Hill
Large Bouquet in an Earthenware Vase (Bucharest),../img/scale/brueghel/3340.jpg,1622,janbrueghel/large-bouquet-in-an-earthenware-vase-bucharest,Large Bouquet in an Earthenware Vase (Bucharest)
Large Fish Market with Self Portrait,../img/scale/brueghel/3341.jpg,1603,janbrueghel/large-fish-market-with-self-portrait,Large Fish Market with Self Portrait
Last Judgement,../img/scale/brueghel/3342.jpg,1601,janbrueghel/last-judgement,Last Judgement
Latona and the Lycian Farmers,../img/scale/brueghel/3344.jpg,1601,janbrueghel/latona-and-the-lycian-farmers,Latona and the Lycian Farmers
Latona and the Lycian Farmers (Amsterdam),../img/scale/brueghel/3345.jpg,1605,janbrueghel/latona-and-the-lycian-farmers-amsterdam,Latona and the Lycian Farmers (Amsterdam)
Latona and the Lycian Farmers (London),../img/scale/brueghel/3346.jpg,1601,janbrueghel/latona-and-the-lycian-farmers-london,Latona and the Lycian Farmers (London)
