"pid","object_pid","file_type","file_description","original_format","research_date","researchers","equipment_used","file_location","file_notes","collection","thumbnail","fullwidth","order","original_file_name"
570,3830,"Normal Light Images›Extra Images","Interior of a Gothic Church Looking East (London, 1443) - Extra 2",,,,,,,"curatorial_files","img/derivatives/simple/570/thumbnail.jpg","img/derivatives/simple/570/fullwidth.jpg",,"Interior_of_a_Gothic_Church_Looking_East_(London,_1443)_Extra_2.jpg"
571,3831,"Normal Light Images›Extra Images","Interior of a Gothic Church Looking East (London, 2204) - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/571/thumbnail.jpg","img/derivatives/simple/571/fullwidth.jpg",,"Interior_of_a_Gothic_Church_Looking_East_(London,_2204)_Extra_1.jpg"
572,3295,"Normal Light Images›Details","John the Baptist in the Wilderness (London) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/572/thumbnail.jpg","img/derivatives/simple/572/fullwidth.jpg",,"John_the_Baptist_in_the_Wilderness_(London)_detail_1.jpg"
573,3295,"Normal Light Images›Details","John the Baptist in the Wilderness (London) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/573/thumbnail.jpg","img/derivatives/simple/573/fullwidth.jpg",,"John_the_Baptist_in_the_Wilderness_(London)_detail_2.jpg"
574,3297,"Normal Light Images›Details","Jonah Leaving the Whale (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/574/thumbnail.jpg","img/derivatives/simple/574/fullwidth.jpg",,"Jonah_Leaving_the_Whale_(Munich)_detail_1.jpg"
575,3303,"Normal Light Images›Details","Landing Stage Near a Village - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/575/thumbnail.jpg","img/derivatives/simple/575/fullwidth.jpg",,"Landing_Stage_Near_a_Village_detail_1.jpg"
576,3303,"Normal Light Images›Details","Landing Stage Near a Village - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/576/thumbnail.jpg","img/derivatives/simple/576/fullwidth.jpg",,"Landing_Stage_Near_a_Village_detail_2.jpg"
577,3315,"Normal Light Images›Related Materials","Landscape with Hermit (St. Fulgentius?) (Milan) - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/577/thumbnail.jpg","img/derivatives/simple/577/fullwidth.jpg",,"Landscape_with_Hermit_(St._Fulgentius  )_(Milan)_Extra_1.jpg"
578,3322,"Written Documents","Landscape with Moated Castle - Catalog Card from Museum Plantin-Moretus",,,,,,,"curatorial_files","img/derivatives/simple/578/thumbnail.jpg","img/derivatives/simple/578/fullwidth.jpg",,"Landscape_with_Moated_Castle_Card_1.jpg"
579,3322,"Written Documents","Landscape with Moated Castle - Catalog Card from Museum Plantin-Moretus",,,,,,,"curatorial_files","img/derivatives/simple/579/thumbnail.jpg","img/derivatives/simple/579/fullwidth.jpg",,"Landscape_with_Moated_Castle_Card_2.jpg"
580,3323,"Normal Light Images›Details","Landscape with Noble Company - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/580/thumbnail.jpg","img/derivatives/simple/580/fullwidth.jpg",,"Landscape_with_Noble_Company_detail_1.jpg"
581,3323,"Normal Light Images›Details","Landscape with Noble Company - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/581/thumbnail.jpg","img/derivatives/simple/581/fullwidth.jpg",,"Landscape_with_Noble_Company_detail_2.jpg"
582,3323,"Normal Light Images›Details","Landscape with Noble Company - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/582/thumbnail.jpg","img/derivatives/simple/582/fullwidth.jpg",,"Landscape_with_Noble_Company_detail_3.jpg"
583,3325,"Normal Light Images›Details","Landscape with Rest on the Flight into Egypt - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/583/thumbnail.jpg","img/derivatives/simple/583/fullwidth.jpg",,"Landscape_with_Rest_on_the_Flight_into_Egypt_detail_1.jpg"
584,3325,"Normal Light Images›Details","Landscape with Rest on the Flight into Egypt - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/584/thumbnail.jpg","img/derivatives/simple/584/fullwidth.jpg",,"Landscape_with_Rest_on_the_Flight_into_Egypt_detail_2.jpg"
585,3325,"Normal Light Images›Details","Landscape with Rest on the Flight into Egypt - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/585/thumbnail.jpg","img/derivatives/simple/585/fullwidth.jpg",,"Landscape_with_Rest_on_the_Flight_into_Egypt_detail_3.jpg"
586,3327,"Normal Light Images›Details","Landscape with St. Jerome (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/586/thumbnail.jpg","img/derivatives/simple/586/fullwidth.jpg",,"Landscape_with_St._Jerome_(Munich)_detail_1.jpg"
587,3833,"Normal Light Images›Framed","Black and white image, framed",,,,,,,"curatorial_files","img/derivatives/simple/587/thumbnail.jpg","img/derivatives/simple/587/fullwidth.jpg",,"Landscape_with_Wagon_Train_extra.jpg"
588,3341,"Normal Light Images›Details","Large Fish Market with Self Portrait - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/588/thumbnail.jpg","img/derivatives/simple/588/fullwidth.jpg",,"Large_Fish_Market_with_Self_Portrait_detail_1.jpg"
589,3341,"Normal Light Images›Details","Large Fish Market with Self Portrait - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/589/thumbnail.jpg","img/derivatives/simple/589/fullwidth.jpg",,"Large_Fish_Market_with_Self_Portrait_detail_2.jpg"
590,3341,"Normal Light Images›Details","Large Fish Market with Self Portrait - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/590/thumbnail.jpg","img/derivatives/simple/590/fullwidth.jpg",,"Large_Fish_Market_with_Self_Portrait_detail_3.jpg"
591,3341,"Normal Light Images›Details","Large Fish Market with Self Portrait - Detail 4",,,,,,,"curatorial_files","img/derivatives/simple/591/thumbnail.jpg","img/derivatives/simple/591/fullwidth.jpg",,"Large_Fish_Market_with_Self_Portrait_detail_4.jpg"
592,3341,"Normal Light Images›Details","Large Fish Market with Self Portrait - Detail 5",,,,,,,"curatorial_files","img/derivatives/simple/592/thumbnail.jpg","img/derivatives/simple/592/fullwidth.jpg",,"Large_Fish_Market_with_Self_Portrait_detail_5.jpg"
593,3347,"Normal Light Images›Details","Lot and His Daughters before Sodom (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/593/thumbnail.jpg","img/derivatives/simple/593/fullwidth.jpg",,"Lot_and_His_Daughters_before_Sodom_(Munich)_detail_1.jpg"
595,3350,"Normal Light Images›Extra Images","Madonna and Child in a Flower Garland with Putti (Munich) -Unframed",,,,,,,"curatorial_files","img/derivatives/simple/595/thumbnail.jpg","img/derivatives/simple/595/fullwidth.jpg",,"Madonna_and_Child_in_a_Flower_Garland_with_Putti_(Munich)_2.jpg"
596,3350,"Normal Light Images›Details","Madonna and Child in a Flower Garland with Putti (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/596/thumbnail.jpg","img/derivatives/simple/596/fullwidth.jpg",,"Madonna_and_Child_in_a_Flower_Garland_with_Putti_(Munich)_detail_1.jpg"
597,3350,"Normal Light Images›Details","Madonna and Child in a Flower Garland with Putti (Munich) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/597/thumbnail.jpg","img/derivatives/simple/597/fullwidth.jpg",,"Madonna_and_Child_in_a_Flower_Garland_with_Putti_(Munich)_detail_2.jpg"
598,3350,"Normal Light Images›Details","Madonna and Child in a Flower Garland with Putti (Munich) - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/598/thumbnail.jpg","img/derivatives/simple/598/fullwidth.jpg",,"Madonna_and_Child_in_a_Flower_Garland_with_Putti_(Munich)_detail_3.jpg"
599,3352,"Normal Light Images›Details","Madonna and Child with Angels in a Landscape (Cologne) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/599/thumbnail.jpg","img/derivatives/simple/599/fullwidth.jpg",,"Madonna_and_Child_with_Angels_in_a_Landscape_(Cologne)_detail_1.jpg"
600,3352,"Normal Light Images›Details","Madonna and Child with Angels in a Landscape (Cologne) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/600/thumbnail.jpg","img/derivatives/simple/600/fullwidth.jpg",,"Madonna_and_Child_with_Angels_in_a_Landscape_(Cologne)_detail_2.jpg"
601,3352,"Normal Light Images›Details","Madonna and Child with Angels in a Landscape (Cologne) - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/601/thumbnail.jpg","img/derivatives/simple/601/fullwidth.jpg",,"Madonna_and_Child_with_Angels_in_a_Landscape_(Cologne)_detail_3.jpg"
602,3364,"Normal Light Images›Details","Mary with Christ, John and Putti in a Landscape - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/602/thumbnail.jpg","img/derivatives/simple/602/fullwidth.jpg",,"Mary_with_Christ,_John_and_Putti_in_a_Landscape_detail_1.jpg"
603,3364,"Normal Light Images›Details","Mary with Christ, John and Putti in a Landscape - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/603/thumbnail.jpg","img/derivatives/simple/603/fullwidth.jpg",,"Mary_with_Christ,_John_and_Putti_in_a_Landscape_detail_2.jpg"
604,3364,"Normal Light Images›Details","Mary with Christ, John and Putti in a Landscape - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/604/thumbnail.jpg","img/derivatives/simple/604/fullwidth.jpg",,"Mary_with_Christ,_John_and_Putti_in_a_Landscape_detail_3.jpg"
605,3378,"Normal Light Images›Related Materials","Mountain Landscape with a Hermit Reading in front of Ruins (St. Anthony) - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/605/thumbnail.jpg","img/derivatives/simple/605/fullwidth.jpg",,"Mountain_Landscape_with_a_Hermit_Reading_in_front_of_Ruins_(St._Anthony)_Extra_1.jpg"
606,3400,"Normal Light Images›Details","Orpheus Sings for Pluto and Proserpina (London) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/606/thumbnail.jpg","img/derivatives/simple/606/fullwidth.jpg",,"Orpheus_Sings_for_Pluto_and_Proserpina_(London)_detail_1.jpg"
607,3400,"Normal Light Images›Details","Orpheus Sings for Pluto and Proserpina (London) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/607/thumbnail.jpg","img/derivatives/simple/607/fullwidth.jpg",,"Orpheus_Sings_for_Pluto_and_Proserpina_(London)_detail_2.jpg"
608,3400,"Normal Light Images›Details","Orpheus Sings for Pluto and Proserpina (London) - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/608/thumbnail.jpg","img/derivatives/simple/608/fullwidth.jpg",,"Orpheus_Sings_for_Pluto_and_Proserpina_(London)_detail_3.jpg"
609,3400,"Normal Light Images›Details","Orpheus Sings for Pluto and Proserpina (London) - Detail 4",,,,,,,"curatorial_files","img/derivatives/simple/609/thumbnail.jpg","img/derivatives/simple/609/fullwidth.jpg",,"Orpheus_Sings_for_Pluto_and_Proserpina_(London)_detail_4.jpg"
610,3444,"Normal Light Images›Details","Preaching of John the Baptist (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/610/thumbnail.jpg","img/derivatives/simple/610/fullwidth.jpg",,"Preaching_of_John_the_Baptist_(Munich)_detail_1.jpg"
611,3444,"Normal Light Images›Details","Preaching of John the Baptist (Munich) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/611/thumbnail.jpg","img/derivatives/simple/611/fullwidth.jpg",,"Preaching_of_John_the_Baptist_(Munich)_detail_2.jpg"
612,3444,"Normal Light Images›Details","Preaching of John the Baptist (Munich) - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/612/thumbnail.jpg","img/derivatives/simple/612/fullwidth.jpg",,"Preaching_of_John_the_Baptist_(Munich)_detail_3.jpg"
613,3491,"Normal Light Images›Details","River Landscape with Travelers on a Road (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/613/thumbnail.jpg","img/derivatives/simple/613/fullwidth.jpg",,"River_Landscape_with_Travelers_on_a_Road_(Munich)_detail_1.jpg"
614,3498,"Normal Light Images›Details","Riverside Village with Landing Stage - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/614/thumbnail.jpg","img/derivatives/simple/614/fullwidth.jpg",,"Riverside_Village_with_Landing_Stage_detail_1.jpg"
615,3498,"Normal Light Images›Details","Riverside Village with Landing Stage - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/615/thumbnail.jpg","img/derivatives/simple/615/fullwidth.jpg",,"Riverside_Village_with_Landing_Stage_detail_2.jpg"
616,3498,"Normal Light Images›Details","Riverside Village with Landing Stage - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/616/thumbnail.jpg","img/derivatives/simple/616/fullwidth.jpg",,"Riverside_Village_with_Landing_Stage_detail_3.jpg"
617,3506,"Normal Light Images›Extra Images","Road through a Wood - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/617/thumbnail.jpg","img/derivatives/simple/617/fullwidth.jpg",,"Road_through_a_Wood_Extra_1.png"
618,3506,"Normal Light Images›Details","Road through a Wood - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/618/thumbnail.jpg","img/derivatives/simple/618/fullwidth.jpg",,"Road_through_a_Wood_detail_1.jpg"
