"pid","object_id","file_type_category","file_type","file_notes","file_description","original_format","research_date","researchers","equipment_used","file_location","fullwidth","thumbnail","order","collection"
565,"3266","Normal Light Images","Extra Image",,"Hermit with Vegetable Garden and Distant Landscape - Extra 2",,,,,,"img/derivatives/simple/565/fullwidth.jpg","img/derivatives/simple/565/thumbnail.jpg",,"curatorial_files"
566,"3277","Normal Light Images","Detail",,"Holy Family in a Landscape (Munich) - Detail 1",,,,,,"img/derivatives/simple/566/fullwidth.jpg","img/derivatives/simple/566/thumbnail.jpg",,"curatorial_files"
567,"3277","Normal Light Images","Detail",,"Holy Family in a Landscape (Munich) - Detail 2",,,,,,"img/derivatives/simple/567/fullwidth.jpg","img/derivatives/simple/567/thumbnail.jpg",,"curatorial_files"
568,"3291","Normal Light Images","Extra Image",,"Interior of a Gothic Church (Milan) - Extra 1",,,,,,"img/derivatives/simple/568/fullwidth.jpg","img/derivatives/simple/568/thumbnail.jpg",,"curatorial_files"
569,"3830","Normal Light Images","Extra Image",,"Interior of a Gothic Church Looking East (London, 1443) - Extra 1",,,,,,"img/derivatives/simple/569/fullwidth.jpg","img/derivatives/simple/569/thumbnail.jpg",,"curatorial_files"
570,"3830","Normal Light Images","Extra Image",,"Interior of a Gothic Church Looking East (London, 1443) - Extra 2",,,,,,"img/derivatives/simple/570/fullwidth.jpg","img/derivatives/simple/570/thumbnail.jpg",,"curatorial_files"
571,"3831","Normal Light Images","Extra Image",,"Interior of a Gothic Church Looking East (London, 2204) - Extra 1",,,,,,"img/derivatives/simple/571/fullwidth.jpg","img/derivatives/simple/571/thumbnail.jpg",,"curatorial_files"
572,"3295","Normal Light Images","Detail",,"John the Baptist in the Wilderness (London) - Detail 1",,,,,,"img/derivatives/simple/572/fullwidth.jpg","img/derivatives/simple/572/thumbnail.jpg",,"curatorial_files"
573,"3295","Normal Light Images","Detail",,"John the Baptist in the Wilderness (London) - Detail 2",,,,,,"img/derivatives/simple/573/fullwidth.jpg","img/derivatives/simple/573/thumbnail.jpg",,"curatorial_files"
574,"3297","Normal Light Images","Detail",,"Jonah Leaving the Whale (Munich) - Detail 1",,,,,,"img/derivatives/simple/574/fullwidth.jpg","img/derivatives/simple/574/thumbnail.jpg",,"curatorial_files"
575,"3303","Normal Light Images","Detail",,"Landing Stage Near a Village - Detail 1",,,,,,"img/derivatives/simple/575/fullwidth.jpg","img/derivatives/simple/575/thumbnail.jpg",,"curatorial_files"
576,"3303","Normal Light Images","Detail",,"Landing Stage Near a Village - Detail 2",,,,,,"img/derivatives/simple/576/fullwidth.jpg","img/derivatives/simple/576/thumbnail.jpg",,"curatorial_files"
577,"3315","Normal Light Images","Extra Image",,"Landscape with Hermit (St. Fulgentius?) (Milan) - Extra 1",,,,,,"img/derivatives/simple/577/fullwidth.jpg","img/derivatives/simple/577/thumbnail.jpg",,"curatorial_files"
578,"3322","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Landscape with Moated Castle - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/578/fullwidth.jpg","img/derivatives/simple/578/thumbnail.jpg",,"curatorial_files"
579,"3322","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Landscape with Moated Castle - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/579/fullwidth.jpg","img/derivatives/simple/579/thumbnail.jpg",,"curatorial_files"
580,"3323","Normal Light Images","Detail",,"Landscape with Noble Company - Detail 1",,,,,,"img/derivatives/simple/580/fullwidth.jpg","img/derivatives/simple/580/thumbnail.jpg",,"curatorial_files"
581,"3323","Normal Light Images","Detail",,"Landscape with Noble Company - Detail 2",,,,,,"img/derivatives/simple/581/fullwidth.jpg","img/derivatives/simple/581/thumbnail.jpg",,"curatorial_files"
582,"3323","Normal Light Images","Detail",,"Landscape with Noble Company - Detail 3",,,,,,"img/derivatives/simple/582/fullwidth.jpg","img/derivatives/simple/582/thumbnail.jpg",,"curatorial_files"
583,"3325","Normal Light Images","Detail",,"Landscape with Rest on the Flight into Egypt - Detail 1",,,,,,"img/derivatives/simple/583/fullwidth.jpg","img/derivatives/simple/583/thumbnail.jpg",,"curatorial_files"
584,"3325","Normal Light Images","Detail",,"Landscape with Rest on the Flight into Egypt - Detail 2",,,,,,"img/derivatives/simple/584/fullwidth.jpg","img/derivatives/simple/584/thumbnail.jpg",,"curatorial_files"
585,"3325","Normal Light Images","Detail",,"Landscape with Rest on the Flight into Egypt - Detail 3",,,,,,"img/derivatives/simple/585/fullwidth.jpg","img/derivatives/simple/585/thumbnail.jpg",,"curatorial_files"
586,"3327","Normal Light Images","Detail",,"Landscape with St. Jerome (Munich) - Detail 1",,,,,,"img/derivatives/simple/586/fullwidth.jpg","img/derivatives/simple/586/thumbnail.jpg",,"curatorial_files"
587,"3833","Normal Light Images","Framed Image",,"Black and white image, framed",,,,,,"img/derivatives/simple/587/fullwidth.jpg","img/derivatives/simple/587/thumbnail.jpg",,"curatorial_files"
588,"3341","Normal Light Images","Detail",,"Large Fish Market with Self Portrait - Detail 1",,,,,,"img/derivatives/simple/588/fullwidth.jpg","img/derivatives/simple/588/thumbnail.jpg",,"curatorial_files"
589,"3341","Normal Light Images","Detail",,"Large Fish Market with Self Portrait - Detail 2",,,,,,"img/derivatives/simple/589/fullwidth.jpg","img/derivatives/simple/589/thumbnail.jpg",,"curatorial_files"
590,"3341","Normal Light Images","Detail",,"Large Fish Market with Self Portrait - Detail 3",,,,,,"img/derivatives/simple/590/fullwidth.jpg","img/derivatives/simple/590/thumbnail.jpg",,"curatorial_files"
591,"3341","Normal Light Images","Detail",,"Large Fish Market with Self Portrait - Detail 4",,,,,,"img/derivatives/simple/591/fullwidth.jpg","img/derivatives/simple/591/thumbnail.jpg",,"curatorial_files"
592,"3341","Normal Light Images","Detail",,"Large Fish Market with Self Portrait - Detail 5",,,,,,"img/derivatives/simple/592/fullwidth.jpg","img/derivatives/simple/592/thumbnail.jpg",,"curatorial_files"
593,"3347","Normal Light Images","Detail",,"Lot and His Daughters before Sodom (Munich) - Detail 1",,,,,,"img/derivatives/simple/593/fullwidth.jpg","img/derivatives/simple/593/thumbnail.jpg",,"curatorial_files"
595,"3350","Normal Light Images","Extra Image","Unframed","Madonna and Child in a Flower Garland with Putti (Munich) -Unframed",,,,,,"img/derivatives/simple/595/fullwidth.jpg","img/derivatives/simple/595/thumbnail.jpg",,"curatorial_files"
596,"3350","Normal Light Images","Detail",,"Madonna and Child in a Flower Garland with Putti (Munich) - Detail 1",,,,,,"img/derivatives/simple/596/fullwidth.jpg","img/derivatives/simple/596/thumbnail.jpg",,"curatorial_files"
597,"3350","Normal Light Images","Detail",,"Madonna and Child in a Flower Garland with Putti (Munich) - Detail 2",,,,,,"img/derivatives/simple/597/fullwidth.jpg","img/derivatives/simple/597/thumbnail.jpg",,"curatorial_files"
598,"3350","Normal Light Images","Detail",,"Madonna and Child in a Flower Garland with Putti (Munich) - Detail 3",,,,,,"img/derivatives/simple/598/fullwidth.jpg","img/derivatives/simple/598/thumbnail.jpg",,"curatorial_files"
599,"3352","Normal Light Images","Detail",,"Madonna and Child with Angels in a Landscape (Cologne) - Detail 1",,,,,,"img/derivatives/simple/599/fullwidth.jpg","img/derivatives/simple/599/thumbnail.jpg",,"curatorial_files"
600,"3352","Normal Light Images","Detail",,"Madonna and Child with Angels in a Landscape (Cologne) - Detail 2",,,,,,"img/derivatives/simple/600/fullwidth.jpg","img/derivatives/simple/600/thumbnail.jpg",,"curatorial_files"
601,"3352","Normal Light Images","Detail",,"Madonna and Child with Angels in a Landscape (Cologne) - Detail 3",,,,,,"img/derivatives/simple/601/fullwidth.jpg","img/derivatives/simple/601/thumbnail.jpg",,"curatorial_files"
602,"3364","Normal Light Images","Detail",,"Mary with Christ, John and Putti in a Landscape - Detail 1",,,,,,"img/derivatives/simple/602/fullwidth.jpg","img/derivatives/simple/602/thumbnail.jpg",,"curatorial_files"
603,"3364","Normal Light Images","Detail",,"Mary with Christ, John and Putti in a Landscape - Detail 2",,,,,,"img/derivatives/simple/603/fullwidth.jpg","img/derivatives/simple/603/thumbnail.jpg",,"curatorial_files"
604,"3364","Normal Light Images","Detail",,"Mary with Christ, John and Putti in a Landscape - Detail 3",,,,,,"img/derivatives/simple/604/fullwidth.jpg","img/derivatives/simple/604/thumbnail.jpg",,"curatorial_files"
